,symbol,name,isin,sector,industry,country,exchange
195,BSCN,,US46138J8669,,,,
196,BSCO,,US46138J8412,,,,
197,BSCP,,US46138J8255,,,,
198,BSCQ,,US46138J7919,,,,
199,BSD,BOURSE DIRECT,JP3799680008,,,,Euronext Paris
200,BSGAR,,FI4000507488,,,,
201,BSJM,,US46138J8743,,,,
202,BSJN,,US46138J8586,,,,
203,BSJO,,US46138J8339,,,,
204,BTEC,,US74255Y4098,,,,
205,BTWNW,,AU000000TTA3,,,,
206,BVI,BUREAU VERITAS,DE0005229504,,,,Euronext Paris
207,BYG,,NO0003087603,,,,
208,CAFO,CAFOM,GB0001615219,,,,Euronext Paris
209,CAMB,CAMPINE,IM00B28CVH58,,,,Euronext Brussels
210,CAMBI,CAMBI,NO0010078850,,,,Euronext Growth Oslo
211,CAP,CAPGEMINI,AU0000XINAS1,,,,Euronext Paris
212,CAPLI,CAPELLI,INE475E01026,,,,Euronext Paris
213,CAPSL,CO2 CAPSOL,DE000A2G9M17,,,,Euronext Growth Oslo
214,CARM,CARMILA,JP3512740006,,,,Euronext Paris
215,CARP,CARPINIENNE PART.,DE000A1MBGZ3,,,,Euronext Paris
216,CARZ,,US33734X3098,,,,
217,CATH,,US37954Y8892,,,,
218,CATR,CATERPILLAR INC,FR0000064446,,,,Euronext Paris
219,CBOT,CBO TERRITORIA,FR0010193979,,,,Euronext Paris
220,CCC,,PLCCC0000016,,,,
221,CCH,,SG2B96959558,,,,
222,CCN,CRCAM NORM.SEINE,FR0000044364,,,,Euronext Paris
223,CCR,,FR0000045346,,,,
224,CDA,ALPES (COMPAGNIE),FR0000053324,,,,Euronext Paris
225,CDC,,US92647N8240,,,,
226,CENER,CENERGY,BE0974303357,,,,Euronext Brussels
227,CFA,,US92647N7663,,,,
228,CFO,,US92647N7820,,,,
229,CGG,CGG,FR0013181864,,,,Euronext Paris
230,CHRY,,AU000000PIL1,,,,
231,CIBR,,US33734X8469,,,,
232,CIL,,US92647N8406,,,,
233,CIRCA,CIRCA GROUP,NO0010917594,,,,Euronext Growth Oslo
234,CIV,CRCAM ILLE-VIL.CCI,FR0000045213,,,,Euronext Paris
235,CIZ,,US92647N8166,,,,
236,CLA,CLARANOVA,FR0013426004,,,,Euronext Paris
237,CLEX,CUMULEX,DE000A1EWXA4,,,,Euronext Brussels
238,CMAXW,,GB00BNLPYF73,,,,
239,CMCAU,,KYG1889L1187,,,,
240,CMCX,,JP3347170007,,,,
241,CMO,CRCAM MORBIHAN CCI,GB00BMB5Y385,,,,Euronext Paris
242,CNCR,,US26922A8264,,,,
243,CNGLU,,US13767K2006,,,,
244,COA,,DE000A0WMJQ4,,,,
245,COFA,COFACE,FR0010667147,,,,Euronext Paris
246,COLR,COLRUYT,COD02PA00018,,,,Euronext Brussels
247,COM,CNIM GROUP,US25460E3071,,,,Euronext Paris
248,COV,COVIVIO,FR0000064578,,,,Euronext Paris
249,COX,NICOX,FR0013018124,,,,Euronext Paris
250,CPI,,US45409B6020,,,,
251,CRAP,CRCAM ALP.PROV.CCI,CA22459L1031,,,,Euronext Paris
252,CRAV,CRCAM ATL.VEND.CCI,INE145E01017,,,,Euronext Paris
253,CRBN,CORBION,US46434V4648,,,,Euronext Amsterdam
254,CRG,CRH PLC ord,IE0001827041,,,,Euronext Dublin
255,CROS,CROSSWOOD,FR0000050395,,,,Euronext Paris
256,CSA,,US92647N8323,,,,
257,CSAM,CSAM HEALTH GROUP,NO0010894512,,,,Euronext Growth Oslo
258,CSB,,US92647N8737,,,,
259,CSF,,US92647N7747,,,,
260,CSS,CLEAN SEAS SEAFOOD,JP3425500000,,,,Euronext Growth Oslo
261,CSSEN,,PLENTER00017,,,,
262,CTAC,CTAC,NL0000345577,,,,Euronext Amsterdam
263,CTAQW,,FI4000507488,,,,
264,CUR,AGUAS DA CURIA,JP3220900009,,,,Euronext Access Lisbon
265,CV,ZCI LIMITED,FR0000079634,,,,Euronext Paris
266,CXSE,,US97717X7194,,,,
267,CYVIZ,CYVIZ,NO0010015175,,,,Euronext Growth Oslo
268,DARK,,INE830S01014,,,,
269,DAX,,US37954Y4917,,,,
270,DBG,DERICHEBOURG,FR0000053381,,,,Euronext Paris
271,DBV,DBV TECHNOLOGIES,US46139B1026,,,,Euronext Paris
272,DCC,,INE132E01015,,,,
273,DEC,,INE132E01015,,,,
274,DEE,DEE TECH SHARES,US25154H4838,,,,Euronext Paris
275,DGB,DGB GROUP N.V.,KR7139130009,,,,Euronext Amsterdam
276,DGE,DIAGEO,GB0002374006,,,,Euronext Paris
277,DGM,DIAGNOSTIC MEDICAL,INE498A01018,,,,Euronext Paris
278,DGRE,,US97717W3236,,,,
279,DGRS,,US97717X6519,,,,
280,DGRW,,US97717X6691,,,,
281,DHG,DALATA HOTEL GP.,IE00BJMZDW83,,,,Euronext Dublin
282,DIE,D'IETEREN GROUP,JP3817400009,,,,Euronext Brussels
283,DIEG,DIEGEM KENNEDYCERT,DE0005580005,,,,Euronext Brussels
284,DIM,SARTORIUS STED BIO,US97717W7781,,,,Euronext Paris
285,DISL,DISTRI-LAND CERT,KR7034220004,,,,Euronext Brussels
286,DLE,DATALEX PLC,JP3548760002,,,,Euronext Growth Dublin
287,DLG,,JP3548760002,,,,
288,DLN,,US97717W3079,,,,
289,DPA,DPA GROUP,NL0009197771,,,,Euronext Amsterdam
290,DRX,,JP3282750003,,,,
291,DSY,DASSAULT SYSTEMES,FR0014003TT8,,,,Euronext Paris
292,DSY.PA,,FR0000033243,,,,
293,DUNEW,,KYG3166N1060,,,,
294,DVY,,US4642871689,,,,
295,DWAS,,US46138E8425,,,,
296,DWAT,,US0427657921,,,,
297,DXGE,,US97717W4481,,,,
298,DXJS,,US97717W5215,,,,
299,EAM,EAM SOLAR,NO0010607781,,,,Euronext Expand Oslo
300,EBOX,,NET000EVBOX7,,,,
301,EBUS,EBUSCO HOLDING,NL0015000CZ2,,,,Euronext Amsterdam
302,ECIT,ECIT AS B-AKSJER,NO0010939804,,,,Euronext Growth Oslo
303,ECO,ECOONLINE HOLDING,NO0010936891,,,,Euronext Growth Oslo
304,ECONB,ECONOCOM GROUP,JP3755800004,,,,Euronext Brussels
305,ECT,EUROCASTLE INVEST.,SE0015987714,,,,Euronext Amsterdam
306,EDPR,EDP RENOVAVEIS,IT0001477402,,,,Euronext Lisbon
307,EDTXW,,JP3533300004,,,,
308,EDV,,US9219107094,,,,
309,EEM,ELECT. MADAGASCAR,US4642872349,,,,Euronext Paris
310,EEMA,,US4642864262,,,,
311,EFAS,,US37954Y6995,,,,
312,EFI,EURASIA FONC INV,CA28203E1051,,,,Euronext Paris
313,EFUEL,EVERFUEL,FR0014001PM5,,,,Euronext Growth Oslo
314,EGL,MOTA ENGIL,PTMEN0AE0005,,,,Euronext Lisbon
315,EIFF,TOUR EIFFEL,FR0000036816,,,,Euronext Paris
316,EKI,EKINOPS,CH0011607683,,,,Euronext Paris
317,EKOP,EKOPAK,BE0974380124,,,,Euronext Brussels
318,ELABS,ELLIPTIC LABORATOR,DE000A1YDGT7,,,,Euronext Growth Oslo
319,ELIOR,ELIOR GROUP,PLALIOR00045,,,,Euronext Paris
320,ELIS,ELIS,FR0012435121,,,,Euronext Paris
321,ELM,,CH0005319162,,,,
322,ELOP,ELOP,NO0010864036,,,,Euronext Growth Oslo
323,EMB,,US4642882819,,,,
324,EMCB,,US97717X7848,,,,
325,EMXC,,FR0014004339,,,,
326,ENCP,,JP3435700004,,,,
327,ENCPU,,KYG304491130,,,,
328,ENGI,ENGIE,FR0013215407,,,,Euronext Paris
329,ENNVW,,AU0000067514,,,,
330,ENOG,,FR0014004974,,,,
331,ENT,,NET000ENTRA9,,,,
332,ENTPA,ENTP ORD SHARES,NET000ENTRA9,,,,Euronext Amsterdam
333,ENVIP,ENVIPCO HOLDING,JP3169750001,,,,Euronext Growth Oslo
334,ENVIW,,ROIMPCACNOR0,,,,
335,ENXP,EURONEXT,NL0006294274,,,,Euronext Lisbon
336,ENZL,,US4642891232,,,,
337,EO,FAURECIA,SE0007075056,,,,Euronext Paris
338,ERA,ERAMET,EGS3C151C015,,,,Euronext Paris
339,ERESW,,AU000000EER1,,,,
340,ESG,ESG CORE INVEST,US33939L6965,,,,Euronext Amsterdam
341,ESGD,,US46435G5163,,,,
342,ESGE,,US46434G8630,,,,
343,ESGT,ESG CORE TREAS SHA,COD08PA00015,,,,Euronext Amsterdam
344,ESGU,,US46435G4257,,,,
345,ESON,ESTORIL SOL N,PTESO0AM0000,,,,Euronext Lisbon
346,ETL,EUTELSAT COMMUNIC.,US29760G1031,,,,Euronext Paris
347,EUCAR,EUROPCAR MOBILITY,INE472M01018,,,,Euronext Paris
348,EUFN,,US4642891802,,,,
349,EUR,EURO RESSOURCES,FR0000054678,,,,Euronext Paris
